PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,0,3,male,21.48,1,0,7.236,,S
2,1,1,female,39.34,1,0,71.3052,C116,C
3,1,3,female,25.95,0,0,7.9114,,S
4,1,1,female,35.99,1,0,53.1117,C6,S
5,0,3,male,35.99,0,0,8.0364,,S
6,0,3,male,28.18,0,0,8.445,,Q
7,0,1,male,57.2,0,0,51.8735,C320,S
8,0,3,male,,3,1,21.0687,,S
9,1,3,female,27.06,0,2,11.1215,,S
10,1,2,female,12.55,1,0,30.0696,,C
11,1,3,female,1.39,1,1,16.6913,C388,S
12,1,1,female,61.67,0,0,26.5468,C20,S
13,0,3,male,19.25,0,0,8.0364,,S
14,0,3,male,40.46,1,5,31.2745,,S
15,0,3,female,12.55,0,0,7.8405,,S
16,1,2,female,58.32,0,0,15.9909,,S
17,0,3,male,,4,1,29.1233,,Q
18,1,2,male,28.18,0,0,12.9892,,S
19,0,3,female,31.53,1,0,17.992,,S
20,1,3,female,28.18,0,0,7.211,,C
21,0,2,male,35.99,0,0,25.9965,,S
22,1,2,male,34.88,0,0,12.9892,C244,S
23,1,3,female,13.67,0,0,8.0156,,Q
24,1,1,male,28.18,0,0,35.5019,C173,S
25,0,3,female,5.85,3,1,21.0687,,S
26,1,3,female,39.34,1,5,31.387,,S
27,0,3,male,28.18,0,0,7.211,,C
28,0,1,male,18.13,3,2,263.1296,C40,S
29,1,3,female,28.18,0,0,7.8655,,Q
30,0,3,male,28.18,0,0,7.8821,,S
31,0,1,male,41.58,0,0,27.7183,,C
32,1,1,female,28.18,1,0,146.585,C54,C
33,1,3,female,28.18,0,0,7.7363,,Q
34,0,2,male,70.6,0,0,10.4878,,S
35,0,1,male,28.18,1,0,82.1989,,C
36,0,1,male,43.81,1,0,52.0111,,S
37,1,3,male,28.18,0,0,7.2152,,C
38,0,3,male,20.36,0,0,8.0364,,S
39,0,3,female,17.02,2,0,17.992,,S
40,1,3,female,12.55,1,0,11.2299,,C
41,0,3,female,41.58,1,0,9.4622,,S
42,0,2,female,27.06,1,0,20.9937,,S
43,0,3,male,28.18,0,0,7.8821,,C
44,1,2,female,0.27,1,2,41.5845,,C
45,1,3,female,18.13,0,0,7.8655,,Q
46,0,3,male,28.18,0,0,8.0364,,S
47,0,3,male,28.18,1,0,15.4906,,Q
48,1,3,female,28.18,0,0,7.7363,,Q
49,0,3,male,28.18,2,0,21.6733,,C
50,0,3,female,17.02,1,0,17.7919,,S
51,0,3,male,4.74,4,1,39.6917,,S
52,0,3,male,20.36,0,0,7.7863,,S
53,1,1,female,51.62,1,0,76.7542,C201,C
54,1,2,female,29.3,1,0,25.9965,,S
55,0,1,male,69.48,0,1,61.9959,C130,C
56,1,1,male,28.18,0,0,35.5019,C74,S
57,1,2,female,20.36,0,0,10.4878,,S
58,0,3,male,28.74,0,0,7.2152,,C
59,1,2,female,2.5,1,2,27.7475,,S
60,0,3,male,9.2,5,2,46.9083,,S
61,0,3,male,21.48,0,0,7.2152,,C
62,1,1,female,39.34,0,0,80.0268,C139,S
63,0,1,male,47.16,1,0,83.5038,C112,S
64,0,3,male,1.39,3,2,27.8976,,S
65,0,1,male,28.18,0,0,27.7183,,C
66,1,3,male,28.18,1,1,15.2363,,C
67,1,2,female,29.3,0,0,10.4878,C375,S
68,0,3,male,18.13,0,0,8.1448,,S
69,1,3,female,15.9,4,2,7.9114,,S
70,0,3,male,25.95,2,0,8.6493,,S
71,0,2,male,32.64,0,0,10.4878,,S
72,0,3,female,14.78,5,2,46.9083,,S
73,0,2,male,20.36,0,0,73.5232,,S
74,0,3,male,25.95,1,0,14.4442,,C
75,1,3,male,32.64,0,0,56.5094,,S
76,0,3,male,24.83,0,0,7.6362,C367,S
77,0,3,male,28.18,0,0,7.8821,,S
78,0,3,male,28.18,0,0,8.0364,,S
79,1,2,male,,0,2,28.9982,,S
80,1,3,female,30.41,0,0,12.4639,,S
81,0,3,male,21.48,0,0,8.987,,S
82,1,3,male,29.3,0,0,9.4872,,S
83,1,3,female,28.18,0,0,7.7738,,Q
84,0,1,male,28.18,0,0,47.1084,,S
85,1,2,female,15.9,0,0,10.4878,,S
86,1,3,female,33.76,3,0,15.8408,,S
87,0,3,male,14.78,1,3,34.3762,,S
88,0,3,male,28.18,0,0,8.0364,,S
89,1,1,female,22.6,3,2,263.1296,C40,S
90,0,3,male,23.71,0,0,8.0364,,S
91,0,3,male,29.3,0,0,8.0364,,S
92,0,3,male,19.25,0,0,7.8405,,S
93,0,1,male,48.27,1,0,61.1913,C290,S
94,0,3,male,25.95,1,2,20.5685,,S
95,0,3,male,62.79,0,0,7.236,,S
96,0,3,male,28.18,0,0,8.0364,,S
97,0,1,male,76.18,0,0,34.6556,C177,C
98,1,1,male,22.6,0,1,63.3758,C159,C
99,1,2,female,34.88,0,1,22.9948,,S
100,0,2,male,34.88,1,0,25.9965,,S
101,0,3,female,28.18,0,0,7.8821,,S
102,0,3,male,28.18,0,0,7.8821,,S
103,0,1,male,20.36,0,1,77.3128,C188,S
104,0,3,male,33.76,0,0,8.641,,S
105,0,3,male,38.23,2,0,7.9114,,S
106,0,3,male,28.18,0,0,7.8821,,S
107,1,3,female,20.36,0,0,7.6362,,S
108,1,3,male,28.18,0,0,7.7613,,S
109,0,3,male,39.34,0,0,7.8821,,S
110,1,3,female,28.18,1,0,24.1455,,Q
111,0,1,male,49.39,0,0,52.0111,C7,S
112,0,3,female,13.11,1,0,14.4442,,C
113,0,3,male,21.48,0,0,8.0364,,S
114,0,3,female,19.25,1,0,9.8124,,S
115,0,3,female,15.9,0,0,14.4483,,C
116,0,3,male,20.36,0,0,7.9114,,S
117,0,3,male,75.62,0,0,7.7363,,Q
118,0,2,male,29.3,1,0,20.9937,,S
119,0,1,male,23.71,0,1,247.6417,C75,C
120,0,3,female,,4,2,31.2745,,S
121,0,2,male,20.36,2,0,73.5232,,S
122,0,3,male,28.18,0,0,8.0364,,S
123,0,2,male,33.2,1,0,30.0696,,C
124,1,2,female,33.2,0,0,12.9892,C265,S
125,0,1,male,57.2,0,1,77.3128,C188,S
126,1,3,male,10.32,1,0,11.2299,,C
127,0,3,male,28.18,0,0,7.7363,,Q
128,1,3,male,23.71,0,0,7.1276,,S
129,1,3,female,28.18,1,1,22.3528,C358,C
130,0,3,male,47.16,0,0,6.9608,,S
131,0,3,male,33.76,0,0,7.8821,,C
132,0,3,male,19.25,0,0,7.0359,,S
133,0,3,female,49.39,1,0,14.4901,,S
134,1,2,female,29.3,1,0,25.9965,,S
135,0,2,male,24.83,0,0,12.9892,,S
136,0,2,male,22.6,0,0,15.0362,,C
137,1,1,female,18.13,0,2,26.28,C227,S
138,0,1,male,38.23,1,0,53.1117,C6,S
139,0,3,male,14.78,0,0,9.2038,,S
140,0,1,male,23.71,0,0,79.2264,C37,C
141,0,3,female,28.18,0,2,15.2363,,C
142,1,3,female,21.48,0,0,7.7363,,S
143,1,3,female,23.71,1,0,15.8408,,S
144,0,3,male,18.13,0,0,6.7357,,Q
